Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2012,"12        ",Male,17,Right-Handed,70,26,70,3,Car,10,.265,32,Swimming,1000,1000,1000,1000,1000,1000,26,"Same length",8,7,"Same length",September,Summer,No,No,Meat,Water,"Mathematics and statistics",8,10,2,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",0,0,,,,,5,10,2,,20,,12,,"A lot","High school",Techno/Electronic,"Freeze time",Happy,"Business person",Environment
USA,CA,2017,"11        ",Male,17,Right-Handed,179,25.4,178,1,Walk,10,0.565,47,Basketball,0,250,800,900,500,800,25.4,"Same length",8.5,7.5,"Index finger",March,Spring,No,No,Pizza/Pasta,Water,"Computers and technology",8,9,6,"Yes - broadband connection","Text messaging",250,300,3,1,2,1,3,0,3,3,3,0,0,0,Some,"Graduate degree","Rap/Hip hop",Telepathy,Happy,"Sports person","Education/Youth development"
USA,CA,2018,"8         ",Female,13,Ambidextrous,155,24,161,2,Bus,33,0.376,36,"Martial Arts",900,400,400,700,200,800,23,"Right foot",70,87,"Ring finger",June,Winter,Yes,No,"Rice/Noodle dishes",Tea,History,7.5,9,5,"Yes - other","In person",,,,,,,,,,,,,,,,,,,,,
USA,VA,2014,"12        ",Male,17,Right-Handed,172,25,168,1,Car,20,.3288,47,Baseball/Softball,503,588,406,727,845,850,25,"Same length",80,85,"Same length",September,Summer,Yes,No,"Rice/Noodle dishes",Water,"Computers and technology",8,5,4,"Yes - broadband connection","Internet chat or instant messaging",20,20,3,1,14,5,7,20,0,2,20,6,0,7,"A lot","Graduate degree",Other,"Freeze time",Healthy,Friend,"International aid"
USA,CA,2015,"8         ",Female,"13 ",Right-Handed,142.2,23.1,65,2,Car,"9 ",540,66,Swimming,471,64,786,278,1000,1000,22.5,"Right foot",80,70,"Index finger",September,Summer,No,No,"No favorite",Water,Art,,7,4,"Yes - dial-up connection","In person",12,50,1,0,10,5,0,0,1,0,5,2,0,5,Some,"Graduate degree",Pop,Fly,Happy,"Musician or singer","Arts, culture, sports"
USA,CA,2018,"9         ",Female,14,Right-Handed,157,22,155,2,Car,10,0.332,57,Dancing,1000,100,20,500,50,300,21,"Right foot",80,60,"Index finger",June,Summer,No,No,Fruit,Water,Languages,7,11,4,"Yes - broadband connection","Text messaging",170,230,20,5,35,40,7,0,35,40,0,0,0,5,"A lot",Other,"Rap/Hip hop",Telepathy,Happy,Relative,Health
USA,FL,2015,"12        ",Female,17,Right-Handed,157.9,22.4,159,1,Car,50,0.46,48,Running/Jogging,100,600,500,100,900,1000,22.6,"Left foot",67,70,"Ring finger",January,Spring,Yes,No,Desserts,Water,English,7,10,4,"Yes - broadband connection","In person",100,100,14,1,10,12,0,0,14,21,21,14,6,7,Some,"Graduate degree",Pop,Invisibility,Happy,Relative,Health
USA,NE,2017,"12        ",Female,18,Right-Handed,163,23,164,1,Car,20,.463,32,Golf,727,722,241,556,481,791,23,"Same length",75,63,"Index finger",September,Fall,No,No,Pizza/Pasta,Water,"Mathematics and statistics",6,9,2,"Yes - broadband connection","Text messaging",500,500,15,6,8,5,,,,,,,,,,,,,,,
USA,VA,2014,"12        ",Male,17,Right-Handed,180,27,186,1,Car,30,0.298,45,"Football (American)",100,100,100,920,1000,1000,27,"Same length",75,80,"Ring finger",July,Fall,Yes,No,"No favorite",Water,"Mathematics and statistics",7,10,6,"Yes - broadband connection","Text messaging",100,,,,,,,,,,,,,,,,,,,,
USA,WI,2017,"8         ",Female,14,Right-Handed,165.1,25.5,72,2,Car,8,0.462,50,Swimming,500,900,700,600,300,1000,25.5,"Same length",70,65,"Index finger",December,Summer,No,No,Seafood,Water,"Mathematics and statistics",7.5,8.5,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",50,60,15,.5,6,10,20,0,1,1,50,3,0,1,"A lot","Graduate degree",Pop,Fly,Healthy,"Sports person","Education/Youth development"
USA,CO,2010,"12        ",Female,16,Right-Handed,164,25,162,1,Car,8,.263,40,Bowling,850,900,800,,900,500,24.5,"Right foot",69,69,"Same length",February,Fall,Yes,No,Fruit,Water,"Mathematics and statistics",7.5,8,4,"Yes - broadband connection","Cell phone",15,20,15,2,25,35,5.5,.5,.2,1,1,2,3,2,"A lot","Graduate degree",Pop,Fly,Happy,Relative,Environment
