Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,AR,2016,"6         ",Female,11,Left-Handed,148,23,142,3,Car,20,,,Basketball,,,,,,,22,"Right foot",7,3,"Index finger",June,Winter,Yes,No,Pizza/Pasta,Juice,Art,11,9,4,"Yes - broadband connection","Text messaging",0,0,4,2,3,1,6,2,4,1,5,1,9,5,"A lot","Graduate degree",Pop,Fly,Famous,"Coach or club leader","Wildlife, animals"
USA,CA,2014,"12        ",Male,17,Right-Handed,183,28,191,1,Car,30,.303,36,Lacrosse,600,600,800,850,900,950,28,"Same length",70,76,"Ring finger",April,Summer,No,No,Meat,Water,Science,6,10,4,"Yes - broadband connection","Text messaging",187,216,8,.5,18,7,13,4,.5,2,6,2,0,1,Some,"Graduate degree",Techno/Electronic,"Freeze time",Happy,Relative,Health
USA,TX,2016,"12        ",Male,17,Right-Handed,165.1,24.13,170.1,1,Car,3.7,0,0,"Football (American)",0,0,0,0,500,1000,24.13,"Same length",69.85,70,"Ring finger",December,Summer,No,No,Pizza/Pasta,Water,Other,1,1,4,"Yes - other","In person",10,10,12,,,,,,,,,,,,,,,,,,
USA,CA,2015,"8         ",Female,13,Right-Handed,127,40,160.2,2,Car,8,.535,51,Soccer,1000,999,1000,950,250,1000,40,"Same length",,,"Ring finger",December,Summer,No,No,Pizza/Pasta,Tea,English,9,6,5,"Yes - other","Text messaging",150,150,33,3,10,15,4,0,10,20,16,6,3,3,"A lot","Undergraduate degree","Rap/Hip hop",,Happy,Relative,"Wildlife, animals"
USA,CA,2014,"11        ",Female,17,Right-Handed,160,23.5,146,2,"Rail (Train/Tram/Subway)",20,0.734,61,Baseball/Softball,1000,900,1000,800,900,100,23,"Right foot",90,96,"Index finger",December,Fall,No,No,Pizza/Pasta,Water,English,8,6,4,"Yes - broadband connection","Text messaging",20,24,6,2,4,6,4,2,4,8,10,8,0,4,"A lot","Graduate degree",Pop,"Freeze time",Happy,"Business person",Health
USA,CA,2017,"12        ",Male,17,Right-Handed,186,29,185,1,Car,15,0.338,25,Basketball,950,650,750,750,850,1000,28,"Same length",87,90,"Ring finger",January,Winter,Yes,No,Pizza/Pasta,Water,"Mathematics and statistics",7,9,6,"Yes - other","Text messaging",20,25,7,0.5,11,8,3,2,3,1,17,4,0,2,Some,"Graduate degree","Rap/Hip hop","Freeze time",Rich,"Business person","Wildlife, animals"
USA,IN,2012,"12        ",Male,18,Left-Handed,180,27,172,1,Bus,50,0.314,40,Other,500,500,600,,1000,1000,27,"Same length",10,9,"Index finger",July,Fall,Yes,No,Meat,"Soft drink (caffeinated)",Other,7,9,4,"Yes - broadband connection","In person",0,0,10,1,5,20,7,30,4,0,40,20,0,10,Some,"Graduate degree","Rock and roll","Freeze time",Rich,Politician,"Wildlife, animals"
USA,IA,2017,"8         ",Male,14,Ambidextrous,171,27.5,171,1,Car,15,.334,50,Athletics,503,503,503,503,251,749,29,"Same length",84,90,"Same length",April,Winter,No,No,Meat,Water,Science,9,7,5,"Yes - broadband connection","Cell phone",5,5,0,.1,1,3,7.5,4,7,1,+10,5,0,0,Some,"Graduate degree",Pop,Telepathy,Rich,Actor,"Arts, culture, sports"
USA,CA,2018,"11        ",Female,17,Right-Handed,160,20,150,2,Car,5,0.469,46,Walking/Hiking,1000,786,925,786,1000,1000,20,"Same length",70,65,"Index finger",November,Fall,No,No,Pizza/Pasta,Milk,Art,7,10,5,"Yes - broadband connection","Text messaging",100,100,20,0,30,25,1,0,50,50,50,1,0,3,Some,"Graduate degree",Pop,Invisibility,Famous,Actor,"Wildlife, animals"
USA,DE,2018,"12        ",Male,17,Right-Handed,172.7,29.2,66.3,2,Car,10,0.755,,"Football (American)",,,,,,,29.2,"Same length",72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2015,"12        ",Male,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MA,2017,"8         ",Female,13,Right-Handed,168,24,164,3,Car,25,0.354,35,Gymnastics,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NC,2016,"12        ",Male,17,Right-Handed,182,27,186,1,Car,7,0.637,58,Swimming,,,,,,,26,"Right foot",9,8,"Index finger",February,Winter,No,No,Seafood,Water,Science,8,10,3,"Yes - broadband connection","Text messaging",38,60,5,1,12,6,5,0,0,3,2,5,0,5,Some,"Graduate degree",Classical,Fly,Happy,Relative,"Wildlife, animals"
USA,WI,2014,"8         ",Female,13,Right-Handed,169,25,164,1,Bus,20,.74,68,Swimming,631,508,588,519,16,374,25,"Same length",74,67,"Index finger",August,Summer,Yes,No,Meat,Milk,"Physical education",10,8,8,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",0,0,15,1,2,5,10,0,0,2,3,3,0,6,"A lot","Graduate degree",Gospel,Telepathy,Happy,"Religious figure","International aid"
USA,AR,2017,"6         ",Female,,,,,,,,,.662,56,,1000,1000,503,802,102,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,OR,2017,"12        ",Male,18,Right-Handed,177,28,"180 ",2,Car,15,0.4,41,Soccer,497,497,497,497,1000,1000,27,"Right foot",70,80,"Ring finger",September,Fall,No,No,Meat,Coffee,"Mathematics and statistics",5,5,3,"Yes - broadband connection","Internet chat or instant messaging",12,20,10,4,7,12,4,20,4,4,20,4,0,0,"Very little","Some college","Rap/Hip hop","Freeze time",Rich,Relative,"Arts, culture, sports"
USA,CA,2016,"12        ",Female,16,Right-Handed,162.5,24.1,44.45,2,Bus,40,0.333,42,Walking/Hiking,1000,1000,1000,1000,259,675,24.1,"Same length",9.5,10,"Ring finger",September,Fall,No,Yes,Desserts,Water,English,5,8,5,"No internet connection","In person",2,56,3,0,4,3,2,0,1,1,2,0,4,1,"A lot","Graduate degree","Rock and roll",Invisibility,Happy,"Community leader or elder","Wildlife, animals"
USA,GU,2014,"7         ",Female,13,Right-Handed,152,17,27,1,Bus,20,3.953,74,Dancing,10,100,10,100,100,1000,17,"Same length",8,6,"Index finger",December,Summer,No,No,Other,Other,Languages,5,7,3,"Yes - dial-up connection","Cell phone",10,5,2,3,2,4,1,2,1,2,3,1,0,1,"A lot","High school",Other,Invisibility,Famous,Friend,"Arts, culture, sports"
USA,AR,2017,"7         ",Female,13,Right-Handed,163,20,53,2,Car,4,,,Soccer,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NC,2018,"10        ",Female,15,Right-Handed,171,24,159,2,Bus,15,0.432,49,Golf,1000,950,1000,1000,150,200,24,"Same length",75,75,"Same length",November,Fall,No,No,Pizza/Pasta,Water,Science,8,10,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",10,15,5,2,10,15,12,0,7,3,7,8,0,5,Some,"Graduate degree","Rhythm and blues (R&B)",Fly,Happy,Relative,"International aid"
USA,IN,2012,"12        ",Female,18,Left-Handed,169,22,156,2,Car,15,.313,40,Other,781,738,791,,583,551,22,"Same length",7.5,7.5,"Same length",November,Summer,No,No,Pizza/Pasta,Water,Other,7,10,4,"Yes - other","Text messaging",200,200,30,1,8,7,5,0,40,40,30,3,15,2,"A lot","Undergraduate degree",Pop,Invisibility,Happy,Relative,Health
USA,TX,2017,"12        ",Male,17,Left-Handed,186,31,200,2,Car,19,.358,81,"Football (American)",100,1,500,800,1,700,31,"Same length",8,8.3,"Same length",October,Summer,No,No,Meat,Tea,Other,6,8,4,"Yes - broadband connection","Text messaging",20,25,0,0,3,3,35,0,8,8,1,2,8,1,Some,"Graduate degree","Rap/Hip hop","Super strength",Happy,"Musician or singer",Religious
USA,OH,2017,"12        ",Female,17,Right-Handed,158,19.8,157,2,Car,7,0.336,39,Athletics,7,8,10,7,3,2,19.5,"Right foot",182.9,185.4,"Index finger",March,Summer,No,No,"Rice/Noodle dishes",Water,Other,7,5,4,"Yes - other","Internet chat or instant messaging",20,50,168,72,168,96,0,0,168,168,168,48,120,168,"A lot","High school",Reggae,"Freeze time",Happy,Friend,"International aid"
USA,OR,2016,"12        ",Male,17,Right-Handed,,,,1,Car,15,1.423,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,KS,2017,"9         ",Female,15,Right-Handed,170.2,24,162,1,Car,4,.399,38,Soccer,1000,759,604,86,770,1000,25,"Left foot",73,82,"Ring finger",September,Fall,Yes,No,Pizza/Pasta,Water,Art,7,10,5,"Yes - broadband connection","Text messaging",300,300,24,70,1,25,75,10,30,60,60,29,8,2,Some,"Graduate degree",Pop,Invisibility,Rich,"Musician or singer","Education/Youth development"
USA,KY,2013,"11        ",Male,17,Right-Handed,168,23,152,2,Car,15,.383,29,Tennis,733,1000,733,400,0,1000,23,"Same length",22,14,"Index finger",November,Summer,No,No,Poultry,Water,History,7,9,4,"Yes - broadband connection","In person",10,12,3,.5,15,15,10,0,1,1,2,5,0,3,Some,"Graduate degree",Country,"Freeze time",Happy,Teacher,Health
USA,NC,2018,"10        ",Male,15,Right-Handed,187,30,187,2,Car,15,0.148,38,"Martial Arts",500,600,250,400,800,650,30,"Same length",39,33,"Ring finger",October,Fall,Yes,No,Fruit,Milk,"Computers and technology",7.5,8.5,5,"Yes - broadband connection","In person",0,0,1,0,20,2,6,3,0,0,5,0,0,2,"A lot","Graduate degree","Heavy metal","Freeze time",Happy,Relative,Health
USA,NC,2018,"12        ",Male,17,Right-Handed,157,33,182,2,Car,20,.31,41,Tennis,890,899,760,650,970,1000,33,"Same length",170,166,"Index finger",March,Fall,No,No,Meat,Water,"Physical education",8,8,5,"Yes - broadband connection","Text messaging",10,170,7,.12,3,7,1,4,1,.5,5,.1,3,2,"Very little","Graduate degree","Rap/Hip hop",Fly,Happy,"Business person",Health
USA,SC,2018,"11        ",Male,18,Right-Handed,172,25,165,2,Car,"8 ",0.312,41,"Football (American)",500,500,500,500,700,1000,25,"Same length",90,65,"Index finger",August,Summer,No,No,Meat,Water,"Physical education",8,11,4,"Yes - broadband connection","Text messaging",57,82,20,1,2,20,30,15,10,30,5,10,0,3,Some,"Undergraduate degree","Rap/Hip hop","Super strength",Rich,Relative,Religious
USA,NY,2015,"12        ",Male,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2014,"12        ",,,,,27,185,,,,,,,,,,,,,28,,7.5,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NY,2018,"12        ",Female,17,Right-Handed,169,42,,1,"Rail (Train/Tram/Subway)",60,0.393,35,Soccer,850,700,600,700,850,950,42,"Same length",,,"Ring finger",March,Spring,No,No,"No favorite",Water,Other,6,9,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",50,60,20,5,25,18,5,6,35,20,40,15,5,10,"A lot","Graduate degree","Rock and roll","Freeze time",Happy,Actor,Environment
USA,TN,2017,"12        ",Female,17,Right-Handed,153,20,130,1,Car,15,38,36,Baseball/Softball,500,300,450,100,650,890,20,"Same length",73,80,"Ring finger",March,Summer,No,No,Salads,"Soft drink (caffeinated)",English,8,12,4,"Yes - broadband connection","In person",10,25,28,15,5,20,30,0,40,40,100,10,12,10,"A lot","Graduate degree",Other,Telepathy,Happy,Other,"Education/Youth development"
USA,MD,2015,"10        ",Female,16,Right-Handed,169,25,171,1,Car,20,.353,49,Soccer,556,545,348,364,1000,1000,26,"Left foot",100,110,"Ring finger",December,Winter,No,No,"Rice/Noodle dishes",Water,Other,7.5,6,3,"Yes - broadband connection","Internet chat or instant messaging",55,50,7,.5,30,4,2,1,5,10,40,10,0,1,"A lot","Graduate degree",Pop,"Freeze time",Healthy,"Sports person","International aid"
USA,CA,2016,"12        ",Female,17,Right-Handed,162.5,22,153,1,Car,20,.32,43,Dancing,198,225,663,295,53,580,22,"Same length",8,7,"Index finger",February,Fall,Yes,No,Desserts,Water,"Mathematics and statistics",7,10,3,"Yes - broadband connection","Cell phone",20,30,10,15,4,1,14,0,10,2,10,10,0,2,"Very little","Undergraduate degree",Pop,Telepathy,Happy,Friend,"Education/Youth development"
USA,OH,2016,"7         ",Male,13,Ambidextrous,162.5,28,174,3,Car,30,.273,30,Basketball,465,898,678,845,872,967,27,"Right foot",75,85,"Index finger",November,Summer,Yes,No,"Rice/Noodle dishes","Sports drink","Physical education",9,3,3,"Yes - broadband connection","Text messaging",7,42,64,10,78,100,00,5,2,15,20,10,0,5,Some,"Graduate degree",Other,Fly,Happy,"Sports person","Arts, culture, sports"
USA,ID,2018,"12        ",Male,21,Right-Handed,174,45,87.5,4,Car,6,.336,38,Soccer,500,1000,1000,1000,1000,1000,45,,60,60,"Ring finger",July,Fall,Yes,No,Meat,Water,Science,6,8,5,"Yes - broadband connection","Text messaging",10,20,4,2,14,2,4,6,4,2,6,5,12,12,"A lot","Some college",Techno/Electronic,"Freeze time",Happy,Other,Other
USA,UT,2010,"9         ",Male,15,Right-Handed,177,27,181,1,Car,15,.25,40,"Football (American)",900,700,800,,500,750,26,"Right foot",105,117,"Ring finger",October,Summer,No,No,Meat,Milk,"Physical education",6,9,5,"No internet connection","In person",0,0,7,0,1,5,3,0,2,2,2,0,0,1,"A lot","Some college","Punk rock","Super strength",Happy,"Sports person",Health
USA,IA,2017,"8         ",Female,14,Right-Handed,163,22,156,1,Car,7,0.722,"43 ",Walking/Hiking,500,500,500,550,400,600,22,"Same length",75,65,"Index finger",September,Fall,No,No,"Rice/Noodle dishes",Water,"Mathematics and statistics",8,9,3,"Yes - other","Internet chat or instant messaging",10,10,10,5,5,5,4,2,5,4,5,3,0,2,Some,"Graduate degree",Pop,Telepathy,Happy,Relative,"International aid"
